Family ID	mouse<22>	<21>	baboon<16>	marmoset<18>	cat<0>	gibbon<12>	chimp<6>	<11>	orang<10>	horse<2>	<13>	macaque<14>	<17>	human<8>	<15>	<9>	cow<4>	<3>	<1>	<7>	<5>	rat<20>
82	24	21	19	16	10	9	18	18	20	13	18	17	17	28	18	19	18	15	15	20	16	19
83	17	17	17	17	17	17	17	17	18	18	17	14	17	18	16	17	16	17	17	17	17	17
84	36	38	13	6	8	4	0	8	8	29	8	8	8	14	9	8	28	20	20	8	19	46
85	16	16	18	16	18	15	15	16	17	16	16	14	16	20	16	16	18	17	17	16	17	16
86	16	16	16	16	16	17	16	16	15	16	16	17	16	17	16	16	15	16	16	16	16	17
87	19	19	18	19	15	15	16	17	18	15	17	5	17	19	15	17	15	16	16	17	16	20
88	17	15	15	8	13	11	13	13	13	24	13	10	13	17	13	13	39	20	20	13	18	13
89	12	9	16	8	3	3	4	13	20	25	13	11	12	65	13	16	21	14	14	16	13	2
90	15	16	16	14	18	17	13	16	17	16	16	14	16	16	15	16	17	17	17	16	17	16
91	15	16	16	17	15	16	16	16	16	16	16	14	16	15	15	16	16	16	16	16	16	16
92	13	15	12	19	13	14	12	16	16	12	16	20	16	24	16	16	12	13	13	16	14	17
93	42	38	12	5	8	2	0	10	13	21	10	11	10	17	11	10	12	14	14	10	14	40
94	14	15	15	15	16	12	14	14	15	15	14	17	14	13	15	14	16	15	15	14	15	15
95	23	14	12	8	10	12	20	14	15	13	13	12	12	25	12	15	18	13	13	20	13	8
96	16	15	16	15	13	16	14	15	15	13	15	13	15	13	15	15	14	14	14	14	14	15
97	16	15	15	13	15	12	17	14	14	14	14	12	14	16	14	14	14	14	14	16	14	15
98	15	15	15	15	15	13	14	14	16	14	14	14	14	13	14	14	13	14	14	14	14	15
99	13	14	13	14	15	14	14	14	15	16	14	17	14	11	14	14	14	15	15	14	15	15
100	15	14	14	15	15	13	14	14	15	14	14	15	14	12	14	14	14	14	14	14	14	14
101	21	19	12	11	14	13	12	12	13	17	12	11	12	12	12	12	15	15	15	12	15	19
102	12	13	14	14	15	14	14	14	15	15	14	14	14	14	14	14	14	14	14	14	14	14
103	14	14	13	13	15	12	13	13	19	14	13	11	13	12	13	13	14	14	14	13	14	15
104	10	11	13	14	13	16	10	13	12	13	13	13	13	15	13	13	24	15	15	13	14	12
