-135521.683552	-135520.260908
-136444.322184	-136444.124309
-135452.202337	-135450.501663
-134578.961951	-134578.930969
-136339.276060	-136336.997271
-135455.159621	-135454.473313
-135780.268556	-135779.523881
-136276.417134	-136272.983401
-135299.130647	-135297.910561
-135078.081210	-135077.583064
-135546.344894	-135546.042029
-134772.642291	-134770.708682
-136266.662320	-136262.583622
-135093.667959	-135092.263867
-135966.502708	-135965.065375
-135708.330649	-135707.888819
-135547.020625	-135545.860128
-135326.441599	-135326.207496
-135738.703169	-135738.537605
-135087.122595	-135086.382131
-135621.365375	-135620.139788
-134858.612008	-134857.673244
-136417.599364	-136416.200886
-135055.996888	-135055.113043
-135813.926613	-135813.903581
-135916.908914	-135916.457671
-135843.808819	-135843.204520
-135388.785455	-135387.911724
-135191.680414	-135190.044904
-135180.355454	-135180.005792
-136073.138003	-136071.832989
-136175.861246	-136174.430949
-134892.208585	-134890.760981
-135787.142901	-135787.092247
-135101.612925	-135101.438895
-135642.880676	-135640.829641
-134930.639624	-134926.312602
-135839.397435	-135839.148302
-136053.204840	-136052.797038
-135572.430874	-135571.528500
-135500.426820	-135500.303538
-135730.858022	-135730.258737
-135559.562739	-135558.008179
-135712.238034	-135711.849858
-135239.921529	-135237.044512
-135431.069525	-135430.649591
-135543.982091	-135539.896510
-135570.788402	-135570.546231
-135795.168923	-135793.525724
-135529.312635	-135527.941832
-135114.885543	-135110.329976
-135746.131965	-135744.325977
-135584.501903	-135583.737875
-135790.463556	-135789.766721
-135325.890866	-135325.609808
-134997.249560	-134996.735958
-135487.818624	-135486.456749
-136372.425545	-136371.550019
-135871.997167	-135871.794173
-135670.559000	-135670.261852
-135015.160448	-135015.151602
-136232.544313	-136231.375756
-135386.216329	-135385.488023
-136305.132889	-136303.124860
-135589.958002	-135589.700558
-135768.319658	-135767.477265
-134637.165760	-134636.504494
-135002.312888	-135001.383190
-136018.392190	-136018.377964
-134753.692360	-134753.365892
-135341.171870	-135340.596193
-135213.378218	-135212.803377
-135067.618501	-135067.394870
-135845.732692	-137939.622405
-135520.387256	-135519.950585
-135086.345024	-135084.634394
-134702.837827	-134702.395950
-135314.402426	-135313.477641
-135630.904941	-135629.717726
-135811.390979	-135807.691687
-135199.407055	-135199.366382
-135718.902363	-135717.814325
-135184.364385	-135184.146210
-135038.365290	-135038.293216
-134518.722140	-134518.291880
-135775.343734	-135774.799564
-135613.297986	-135612.733213
-136176.775254	-136175.859973
-135537.354262	-135536.816171
-135112.986919	-135112.243685
-136127.935884	-136127.925548
-135596.297746	-135593.931660
-135009.818683	-135007.393081
-135520.513005	-135519.271526
-135153.120682	-135152.496192
-135878.412722	-135873.713369
-135763.499934	-135762.589609
-135607.859992	-135605.503346
-135255.697276	-135255.349077
-135009.938479	-135009.009184
